,name,nation,age,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_wins,2018_year_km,date,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
10,N.Arndt,Germany,23,Team Giant - Shimano,2014,1,117,21057.0,117,21057.0,0,2,0,1,4,4,3,17,2014.8823529411768,8,172.58823529411762,999,1806.0,131163.58823529413,999999.0,6,182.4705882352941,999,9793.0,162612.76470588235,999999.0,2.0,0.0,139,429.33333333333326,999,19553.0,346933.0,999999.0,123,419.66666666666674,999,44087.0,369242.0,999999.0,0.0,0.0,0.1176470588235294,0.0,PRT,249.0,71.0,Team Giant - Alpecin,1.0,11254.2,PRT,99.0,70.0,Team Giant - Alpecin,1.0,11537.7,PRT,200.0,56.0,Team Sunweb,1.0,9286.0,PRT,327.0,67.0,Team Sunweb,0.0,10222.1,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
11,M.Docker,Australia,28,Orica - GreenEDGE,2014,1,118,21057.0,118,21057.0,0,0,1,0,1,0,4,25,2015.8,9,186.16,999,1921.0,93780.08,999999.0,57,195.44,999,9822.0,126702.12,999999.0,1.0,0.0,91,102.66666666666669,122,12491.0,13229.333333333336,13834.0,92,99.66666666666669,107,64022.0,76960.66666666669,90347.0,0.0,0.0,0.04,0.0,PRT,1058.0,53.0,Orica - GreenEDGE,0.0,8648.6,PRT,1372.0,42.0,Orica - BikeExchange,0.0,6785.0,PRT,640.0,47.0,Orica - Scott,0.0,7897.5,PRT,3348.0,79.0,Team EF Education First - Drapac,0.0,12688.5,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
12,B.Thurau,Germany,26,Team Europcar,2014,1,119,21057.0,119,21057.0,2,0,0,2,0,1,1,6,2014.0,56,264.0,999,13326.0,181805.66666666663,999999.0,63,257.0,999,21057.0,213481.0,999999.0,0.0,0.0,56,392.33333333333326,999,16319.0,345642.33333333326,999999.0,63,395.0,999,74513.0,388448.0,999999.0,0.0,0.0,0.0,0.0,PROF,995.0,44.0,Bora - Argon 18,0.0,7264.9,PROF,2350.0,53.0,Wanty - Groupe Gobert,0.0,8431.0,CONT,765.0,29.0,Kuwait - Cartucho,0.0,4255.3,CONT,999999,0.0,Holdsworth Racing,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
13,Y.Popovych,Czech Republic,34,Trek Factory Racing,2014,1,120,21086.0,120,21086.0,0,0,0,1,3,2,2,14,2014.5,24,94.42857142857143,137,1905.0,14989.785714285714,22746.0,94,111.21428571428572,128,9801.0,64073.214285714275,111663.0,0.0,0.0,74,89.66666666666669,105,1943.0,14410.0,22746.0,94,100.66666666666669,113,77710.0,90718.33333333331,98194.0,0.0,0.0,0.0,0.0,PROF,499.0,63.0,CCC Sprandi Polkowice,0.0,9968.3,PROF,532.0,55.0,CCC Sprandi Polkowice,2.0,8634.1,PROF,156.0,70.0,CCC Sprandi Polkowice,0.0,10990.5,PRT,495.0,70.0,Astana Pro Team,0.0,11495.9,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
14,A.Rybakov,Australia,26,Team Katusha,2014,1,121,21088.0,121,21088.0,0,1,0,0,2,7,1,7,2014.0,96,121.71428571428572,136,1934.0,16041.571428571431,21088.0,110,116.71428571428572,123,21088.0,72011.57142857142,112291.0,0.0,0.0,96,114.66666666666669,134,1934.0,12638.666666666664,18752.0,117,119.66666666666669,123,91605.0,104751.0,112291.0,0.0,0.0,0.0,0.0,CONT,685.0,16.0,NFTO,2.0,2262.9,PROF,261.0,66.0,ONE Pro Cycling,2.0,9626.6,CONT,808.0,22.0,ONE Pro Cycling,0.0,3436.4,CONT,673.0,31.0,Bennelong - Swisswellness,1.0,4250.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
15,S.von Hoff,France,27,Garmin - Sharp,2014,1,122,21111.0,122,21111.0,0,0,0,0,0,3,1,7,2014.0,10,96.14285714285714,136,2034.0,16076.285714285714,21111.0,111,120.14285714285714,129,21111.0,72100.28571428571,112534.0,1.0,0.0,129,132.33333333333334,136,2034.0,12712.0,18752.0,121,126.0,129,91748.0,104927.33333333331,112534.0,0.0,0.0,0.14285714285714285,0.0,PRT,1558.0,53.0,AG2R La Mondiale,0.0,8261.6,PRT,1441.0,60.0,AG2R La Mondiale,0.0,9878.6,PROF,2573.0,67.0,"Cofidis, Solutions Credits",0.0,10565.1,PROF,2529.0,34.0,"Cofidis, Solutions Credits",0.0,5724.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
16,G.Bonnafond,Colombia,27,AG2R La Mondiale,2014,1,123,21111.0,123,21111.0,2,0,0,1,3,1,2,14,2014.5,63,100.42857142857143,142,1948.0,14897.071428571431,22746.0,68,99.71428571428572,123,9801.0,63818.642857142855,111486.0,0.0,0.0,63,81.33333333333333,93,1957.0,14216.666666666664,22746.0,68,75.66666666666667,90,77169.0,89786.0,97073.0,0.0,0.0,0.0,0.0,PRT,178.0,82.0,BMC Racing Team,0.0,12995.7,PRT,67.0,83.0,BMC Racing Team,1.0,13089.3,PRT,298.0,76.0,UAE Team Emirates,0.0,12256.0,PRT,1351.0,73.0,UAE Team Emirates,0.0,11317.6,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
17,D.Boucher,Belarus,34,FDJ.fr,2014,1,124,21174.0,124,21174.0,1,0,0,1,2,11,1,5,2014.0,89,298.2,999,13167.0,214898.2,999999.0,119,297.8,999,21174.0,238052.8,999999.0,0.0,0.0,89,409.66666666666674,999,13167.0,344591.66666666674,999999.0,119,413.0,999,53883.0,376124.66666666674,999999.0,0.0,0.0,0.0,0.0,PRT,242.0,66.0,Team Sky,0.0,10081.7,PRT,234.0,65.0,Dimension Data,0.0,10130.2,PRT,547.0,47.0,Bahrain - Merida,0.0,7572.6,PRT,311.0,29.0,Bahrain - Merida,2.0,4394.9,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
18,M.Fischer,Brazil,35,FDJ.fr,2014,1,107,20941.0,108,20941.0,0,1,0,0,0,11,3,18,2014.888888888889,34,219.88888888888889,999,1887.0,125186.0,999999.0,92,227.61111111111111,999,9880.0,158042.05555555553,999999.0,0.0,0.0,147,431.66666666666674,999,19553.0,346933.0,999999.0,153,441.33333333333326,999,44333.0,369406.0,999999.0,0.0,0.0,0.0,0.0,PRT,999999,68.0,FDJ,0.0,10695.4,PRT,999999,49.0,FDJ,0.0,7937.7,NONE,999999,0.0,NONE,0.0,0.0,NONE,999999,0.0,Ind-Brasil,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
19,S.Puccio,Italy,25,Team Sky,2014,1,126,21215.0,126,21215.0,0,1,0,0,0,4,5,34,2016.0,7,87.94117647058823,999,1854.0,43512.23529411765,999999.0,8,87.44117647058823,999,9793.0,82772.32352941176,999999.0,1.0,0.0,58,66.66666666666667,74,12090.0,13016.333333333336,13766.0,55,60.66666666666666,65,63271.0,75919.66666666669,89127.0,0.0,0.0,0.029411764705882356,0.0,PRT,369.0,85.0,Team Sky,0.0,13458.0,PRT,660.0,74.0,Team Sky,0.0,11459.0,PRT,1022.0,85.0,Team Sky,0.0,13666.3,PRT,1363.0,75.0,Team Sky,0.0,11749.3,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
