,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
11,PRT,138,61.0,Etixx - Quick Step,108,0.0,9720.3,PRT,36,76.0,Etixx - Quick Step,76,3.0,12220.9,PRT,527,65.0,Quick-Step Floors,144,0.0,10500.9,PRT,86,81.0,Trek - Segafredo,147,0.0,12512.8,6,1.70,0,Italy,0,0,7,0,G.Brambilla
12,PRT,366,72.0,Astana Pro Team,-,0.0,11496.6,PRT,260,67.0,Astana Pro Team,139,0.0,10051.1,PRT,260,66.0,Astana Pro Team,200,0.0,10674.1,PRT,406,71.0,Astana Pro Team,252,0.0,10596.2,1,1.75,2,Italy,1,0,4,1,C.Meier
13,PROF,1610,40.0,MTN - Qhubeka,-,0.0,6161.6,PRT,-,0.0,Dimension Data,-,0.0,0.0,,-,0.0,Beat Cycling Club,-,0.0,0.0,CONT,-,0.0,Beat Cycling Club,-,0.0,0.0,1,1.90,0,Netherlands,2,0,12,0,T.Bos
14,,921.0,37.0,Russia National Team,-,0.0,4468.8,,,,,,,,,,,,,,,,,,,,,,0,,0,Russia,0,0,8,1,T.Kritskiy
15,PROF,1016.0,51.0,Bora - Argon 18,-,0.0,7991.6,PROF,671.0,42.0,Bora - Argon 18,-,0.0,6545.2,,,,,,,,,,,,,,,0,1.80,0,Germany,0,0,2,0,D.Nerz
16,PRT,100,77.0,Movistar Team,50,0.0,11990.4,PRT,138,60.0,Movistar Team,73,0.0,9743.8,PRT,159,80.0,Movistar Team,169,0.0,12523.3,PRT,238,82.0,Movistar Team,206,1.0,12664.5,5,1.80,0,Costa Rica,0,0,1,0,A.Amador
17,PRT,512,74.0,Tinkoff - Saxo,-,0.0,11102.3,PRT,1069,57.0,Tinkoff,-,0.0,8987.4,PRT,439,79.0,Bora - Hansgrohe,165,0.0,12514.4,PRT,866,71.0,Bora - Hansgrohe,233,0.0,10794.1,3,1.82,0,Poland,0,0,4,0,P.Poljanski
18,PRT,59,72.0,AG2R La Mondiale,75,4.0,11005.0,PRT,150,60.0,AG2R La Mondiale,169,0.0,9139.5,PRT,64,63.0,AG2R La Mondiale,42,3.0,10310.2,PRT,114,53.0,AG2R La Mondiale,108,0.0,8887.1,2,1.74,1,France,0,0,5,0,A.Vuillermoz
19,PROF,868.0,62.0,CCC Sprandi Polkowice,-,0.0,10189.5,PROF,769.0,39.0,CCC Sprandi Polkowice,-,0.0,6159.1,CONT,1543.0,41.0,Team Hurom,-,0.0,5804.8,,,,,,,,0,,1,Poland,0,0,5,1,B.Matysiak
20,PRT,354.0,53.0,Team Katusha,-,0.0,8690.7,,,,,,,,,,,,,,,,,,,,,,0,1.81,3,Italy,1,0,7,0,G.Caruso
21,PROF,528,70.0,Team Europcar,-,0.0,11747.9,PROF,828,60.0,Direct Energie,-,0.0,10019.5,PROF,1022,78.0,Direct Energie,-,0.0,12290.8,PROF,635,54.0,Direct Energie,-,0.0,8867.1,0,1.76,0,France,1,0,1,1,A.Tulik
22,PRT,411.0,70.0,Lampre - Merida,-,0.0,10773.8,PRT,368.0,59.0,Lampre - Merida,-,1.0,9615.5,PRT,1004.0,56.0,UAE Team Emirates,216,0.0,8901.0,PRT,1785.0,40.0,UAE Team Emirates,-,0.0,5610.0,1,1.84,11,Poland,2,0,5,1,P.Niemiec
23,PRT,26,85.0,Tinkoff - Saxo,33,1.0,13382.2,PRT,34,75.0,Tinkoff,43,0.0,11990.5,PRT,38,72.0,Bora - Hansgrohe,32,4.0,11600.9,PRT,39,80.0,Bora - Hansgrohe,61,0.0,12500.1,7,1.73,4,Poland,1,0,5,2,R.Majka
24,PRT,1388.0,28.0,Tinkoff - Saxo,-,0.0,4289.5,PRT,1818.0,47.0,IAM Cycling,-,0.0,7369.5,,,,,,,,,,,,,,,1,1.70,0,Switzerland,0,0,0,0,O.Zaugg
25,PROF,1869.0,63.0,CCC Sprandi Polkowice,-,0.0,10059.4,CONT,532.0,22.0,Wibatech - Fuji,-,2.0,3325.9,CONT,320.0,40.0,Wibatech - Fuji,-,4.0,5798.9,CONT,682.0,38.0,Wibatech Merx 7R,-,0.0,5088.3,1,,7,Poland,7,0,10,0,M.Rutkiewicz
26,PRT,350,59.0,Team LottoNL-Jumbo,182,0.0,9956.2,PRT,852,71.0,Team LottoNL-Jumbo,-,0.0,11463.2,PRT,560,75.0,Team LottoNL - Jumbo,167,0.0,12785.8,PRT,1149,70.0,Team LottoNL - Jumbo,242,0.0,11096.6,1,1.78,0,Germany,0,0,3,0,P.Martens
27,PRT,695,69.0,Orica - GreenEDGE,-,0.0,11367.3,PROF,231,69.0,Roompot - Oranje Peloton,-,3.0,10873.1,PROF,179,71.0,Roompot - Nederlandse Loterij,-,1.0,10915.5,PROF,220,67.0,Roompot - Nederlandse Loterij,-,1.0,11073.2,1,1.86,3,Netherlands,0,0,6,0,P.Weening
28,PRT,121,61.0,Team Giant - Alpecin,108,0.0,10416.0,PRT,73,51.0,Team Giant - Alpecin,30,0.0,8566.8,PRT,51,64.0,Team Sunweb,37,2.0,10439.4,PROF,98,67.0,Team Fortuneo - Samsic,-,0.0,10913.5,5,1.83,4,France,2,0,3,3,W.Barguil
29,PROF,151.0,53.0,Nippo - Vini Fantini,-,0.0,8791.3,PROF,384.0,62.0,Nippo - Vini Fantini,-,0.0,10058.7,PROF,531.0,53.0,Nippo - Vini Fantini,-,1.0,8297.2,PROF,1554.0,47.0,Nippo Vini Fantini - Europa Ovini,-,0.0,6029.4,6,1.69,1,Italy,3,0,31,1,D.Cunego
30,PRT,-,19.0,Team LottoNL-Jumbo,-,0.0,2816.1,,,,,,,,,,,,,,,,,,,,,,0,1.82,0,Belgium,0,0,2,1,K.De Weert
31,CONT,442,40.0,Torku Seker Spor,-,6.0,5905.2,PRT,1271,38.0,Lotto - Soudal,-,0.0,5729.3,PRT,342,81.0,Lotto - Soudal,112,2.0,13191.4,PRT,2264,41.0,Lotto - Soudal,401,0.0,6363.6,4,,4,Poland,0,1,9,0,T.Marczynski
32,PRT,178,70.0,Team Giant - Alpecin,139,2.0,11429.5,PRT,507,66.0,Team Giant - Alpecin,-,0.0,10637.8,PRT,541,68.0,Team Sunweb,277,0.0,10831.5,PRT,772,59.0,Groupama - FDJ,408,1.0,9778.8,0,1.93,0,Netherlands,0,0,7,1,R.Sinkeldam
33,PROF,668.0,57.0,RusVelo,-,1.0,7678.9,PROF,1728.0,60.0,Gazprom - RusVelo,-,0.0,9081.2,PROF,1166.0,46.0,Gazprom - RusVelo,-,0.0,7196.8,CONT,271.0,49.0,Terengganu Cycling Team,-,5.0,6755.6,1,,0,Russia,0,0,7,1,A.Ovechkin
34,PROF,110.0,80.0,CCC Sprandi Polkowice,-,4.0,13947.8,PROF,263.0,60.0,CCC Sprandi Polkowice,-,1.0,9244.0,PROF,214.0,77.0,CCC Sprandi Polkowice,-,6.0,12259.3,CONT,260.0,44.0,Wibatech Merx 7R,-,6.0,6097.9,2,,3,Poland,3,0,14,0,M.Paterski
35,PRT,2045.0,57.0,BMC Racing Team,-,0.0,9057.7,PRT,1882.0,58.0,BMC Racing Team,-,0.0,8875.3,,,,,,,,,,,,,,,0,1.81,0,Slovakia,0,0,15,1,P.Velits
36,PRT,1869,71.0,Etixx - Quick Step,-,0.0,10956.0,PRT,3411,65.0,Etixx - Quick Step,-,0.0,9819.2,PRT,-,39.0,Quick-Step Floors,-,0.0,5673.9,,,,,,,,0,1.85,0,Slovakia,0,0,3,2,M.Velits
37,PRT,50,71.0,Movistar Team,30,1.0,11470.9,PRT,11,72.0,Movistar Team,10,4.0,11082.6,PRT,56,37.0,Bahrain - Merida,23,0.0,5533.9,PRT,17,88.0,Bahrain - Merida,23,0.0,13443.5,7,1.73,0,Spain,0,0,4,1,I.Izagirre
38,PRT,375,61.0,Team Sky,-,0.0,9261.7,PRT,255,62.0,Team Sky,162,0.0,9567.9,PRT,896,75.0,Team Sky,258,0.0,11720.2,PRT,534,56.0,Team Sky,225,0.0,8927.1,4,1.71,0,Colombia,0,0,0,1,S.Henao
39,PROF,2045,39.0,Team Colombia,-,0.0,6441.0,CONT,4092,13.0,EPM Tigo - UNE Area Metropolitana,-,0.0,1615.4,,3760,12.0,Boyacá es para Vivirla,-,0.0,1690.7,,-,0.0,Boyacá es para Vivirla,-,0.0,0.0,0,1.68,1,Colombia,0,0,2,0,C.Jose Sarmiento
40,PRT,47,54.0,Team LottoNL-Jumbo,43,0.0,8243.7,PRT,172,49.0,Team LottoNL-Jumbo,79,1.0,7863.2,PRT,188,47.0,Team LottoNL - Jumbo,100,0.0,6964.2,PRT,190,66.0,Team LottoNL - Jumbo,88,0.0,11010.4,11,1.87,0,Netherlands,0,0,9,9,R.Gesink
41,PRT,249,56.0,IAM Cycling,157,0.0,8371.5,PRT,72,69.0,FDJ,68,0.0,10502.2,PRT,186,57.0,FDJ,168,0.0,9000.3,PRT,168,55.0,Groupama - FDJ,180,0.0,9524.1,4,,0,Switzerland,0,0,0,0,M.Bouet
42,PRT,131,88.0,Lotto - Soudal,94,0.0,13413.3,PRT,175,87.0,Lotto - Soudal,114,0.0,13101.8,PRT,323,86.0,Lotto - Soudal,159,0.0,13211.7,PRT,430,70.0,Lotto - Soudal,273,0.0,10544.0,1,1.81,0,Belgium,0,0,3,4,M.Monfort
43,PRT,106,75.0,BMC Racing Team,69,0.0,12043.7,PRT,169,69.0,BMC Racing Team,-,0.0,10836.5,PRT,70,84.0,BMC Racing Team,55,0.0,13248.5,PRT,69,69.0,BMC Racing Team,51,0.0,10854.9,1,1.78,2,Italy,0,0,2,2,D.Caruso
44,PRT,170,69.0,IAM Cycling,169,2.0,11499.3,PRT,100,86.0,IAM Cycling,125,1.0,13598.3,PROF,217,59.0,"Cofidis, Solutions Credits",-,0.0,9415.5,PROF,216,52.0,Vital Concept,-,1.0,8376.9,2,1.76,0,Belgium,0,0,8,0,J.Van Genechten
45,PRT,428,82.0,Team Giant - Alpecin,-,0.0,12632.4,PRT,277,87.0,Team Giant - Alpecin,190,0.0,13640.8,PRT,737,52.0,Team Sunweb,263,0.0,8192.7,PRT,231,64.0,Groupama - FDJ,116,1.0,10165.3,2,1.89,4,Austria,0,0,5,0,G.Preidler
46,PRT,491.0,32.0,Team LottoNL-Jumbo,-,0.0,4728.0,PROF,866.0,29.0,Roompot - Oranje Peloton,-,0.0,4777.5,CONT,2573.0,6.0,Pauwels Sauzen - Vastgoedservice,-,0.0,1109.1,CONT,3962.0,1.0,Monkey Town,-,0.0,193.4,0,1.79,0,Netherlands,0,0,4,0,B.Markus
47,PRT,341,56.0,FDJ,118,0.0,8289.8,PRT,596,61.0,FDJ,150,0.0,9210.2,PRT,1445,52.0,FDJ,331,0.0,8157.6,PRT,2264,49.0,Groupama - FDJ,258,0.0,8293.6,1,1.87,0,Switzerland,0,0,1,0,S.Morabito
48,PRT,129,67.0,Lotto - Soudal,42,1.0,10472.7,PRT,204,65.0,Lotto - Soudal,-,0.0,9774.1,PRT,592,73.0,Lotto - Soudal,266,0.0,11647.7,PROF,-,0.0,Wanty - Groupe Gobert,-,0.0,0.0,0,1.83,1,Belgium,0,0,0,0,D.Rebellin
49,CONT,414.0,43.0,Whirlpool - Author,-,0.0,6554.2,PROF,436.0,47.0,Verva - ActiveJet Pro Cycling Team,-,0.0,7174.9,CONT,492.0,38.0,Elkov - Author,-,0.0,5848.4,PROF,433.0,38.0,CCC Sprandi Polkowice,-,0.0,5424.0,1,,1,Poland,0,0,2,0,P.Cieslik
50,PROF,225.0,49.0,RusVelo,-,4.0,7484.4,PROF,164.0,72.0,Gazprom - RusVelo,-,3.0,11043.4,PROF,679.0,76.0,Gazprom - RusVelo,-,0.0,12377.7,PROF,617.0,62.0,Gazprom - RusVelo,-,0.0,8785.1,1,,2,Russia,1,0,13,0,S.Firsanov
51,PRT,124.0,63.0,BMC Racing Team,112.0,0.0,10382.0,PRT,86.0,68.0,BMC Racing Team,35.0,1.0,10896.3,PRT,830.0,42.0,BMC Racing Team,238.0,0.0,6678.5,,,,,,,,4,1.81,1,Spain,7,0,9,0,S.Sánchez
