,name,nation,age,height,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,biker_sys_nr,team_sys_nr,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,date,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
10,G.Stepniak,Poland,25,,CCC Polsat Polkowice,2014,1,11,20870.0,13,20870.0,0,2,2,0,1,3,6556,3733,1,7,2014.0,11,54.142857142857146,124,1897.0,16014.285714285714,20870.0,10,53.714285714285715,119,20870.0,71791.71428571429,112100.0,0.0,0.0,81,108.0,124,1897.0,12666.333333333334,18752.0,101,110.33333333333333,119,91451.0,104584.66666666667,112100.0,0.0,0.0,0.0,0.0,PROF,460.0,44.0,CCC Sprandi Polkowice,-,2.0,6865.7,PROF,584.0,35.0,CCC Sprandi Polkowice,-,2.0,5378.4,CONT,634.0,27.0,Wibatech - Fuji,-,2.0,3836.6,CONT,584.0,24.0,Wibatech Merx 7R,-,1.0,3335.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
11,G.Brambilla,Italy,27,1.70,Omega Pharma-Quick Step,2014,1,12,20870.0,14,20870.0,0,0,0,0,6,7,2741,3475,3,21,2015.6666666666667,4,35.61904761904762,143,1880.0,13905.095238095239,21046.0,9,20.238095238095237,49,9793.0,58262.28571428572,109103.0,2.0,0.0,14,16.0,19,11776.0,12672.0,13154.0,13,15.0,16,63061.0,75273.66666666667,87923.0,0.0,0.0,0.09523809523809523,0.0,PRT,138,61.0,Etixx - Quick Step,108,0.0,9720.3,PRT,36,76.0,Etixx - Quick Step,76,3.0,12220.9,PRT,527,65.0,Quick-Step Floors,144,0.0,10500.9,PRT,90,76.0,Trek - Segafredo,144,0.0,11798.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
12,C.Meier,Italy,29,1.75,Orica - GreenEDGE,2014,1,13,20870.0,15,20870.0,2,1,0,1,1,4,532,4434,2,14,2014.5,13,136.42857142857142,999,1895.0,86017.28571428571,999999.0,15,142.0,999,9801.0,126910.0,999999.0,0.0,0.0,23,50.0,64,1895.0,13677.666666666666,22174.0,41,53.0,77,76852.0,88803.0,95741.0,0.0,0.0,0.0,0.0,PRT,366,72.0,Astana Pro Team,-,0.0,11496.6,PRT,260,67.0,Astana Pro Team,139,0.0,10051.1,PRT,260,66.0,Astana Pro Team,200,0.0,10674.1,PRT,480,68.0,Astana Pro Team,352,0.0,9893.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
13,T.Bos,Netherlands,31,1.90,Belkin Pro Cycling Team,2014,1,14,20870.0,16,20870.0,0,2,0,0,1,12,797,3482,1,6,2014.0,1,206.33333333333334,999,13167.0,182034.33333333334,999999.0,3,199.33333333333334,999,20870.0,213494.0,999999.0,1.0,1.0,17,391.0,999,18106.0,346238.0,999999.0,4,384.0,999,74091.0,388762.3333333333,999999.0,0.0,0.0,0.16666666666666666,0.16666666666666666,PROF,1610,40.0,MTN - Qhubeka,-,0.0,6161.6,PRT,-,0.0,Dimension Data,-,0.0,0.0,,-,0.0,Beat Cycling Club,-,0.0,0.0,CONT,-,0.0,Beat Cycling Club,-,0.0,0.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
14,T.Kritskiy,Russia,27,,RusVelo,2014,1,15,20870.0,17,20870.0,0,0,0,1,0,8,830,3482,1,7,2014.0,12,51.714285714285715,127,1813.0,15907.857142857143,20870.0,15,50.42857142857143,102,20870.0,71590.85714285714,111355.0,0.0,0.0,20,79.33333333333333,127,1813.0,12418.0,18091.0,85,93.0,102,91451.0,104116.0,111355.0,0.0,0.0,0.0,0.0,,921.0,37.0,Russia National Team,-,0.0,4468.8,,,,,,,,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
15,D.Nerz,Germany,25,1.80,BMC Racing Team,2014,1,16,20870.0,18,20870.0,0,0,0,0,0,2,844,10075,1,7,2014.0,11,28.142857142857142,43,1830.0,15582.857142857143,20870.0,9,18.285714285714285,32,20870.0,70783.28571428571,109080.0,0.0,0.0,11,24.666666666666668,37,1830.0,11659.666666666666,16885.0,9,19.0,32,90365.0,102231.66666666667,109080.0,0.0,0.0,0.0,0.0,PROF,1016.0,51.0,Bora - Argon 18,-,0.0,7991.6,PROF,671.0,42.0,Bora - Argon 18,-,0.0,6545.2,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
16,A.Amador,Costa Rica,28,1.80,Movistar Team,2014,1,17,20870.0,19,20870.0,0,0,0,0,5,1,745,10081,2,12,2014.8333333333333,9,135.91666666666666,999,1814.0,97621.25,999999.0,6,126.33333333333333,999,10879.0,136264.66666666666,999999.0,1.0,0.0,64,380.3333333333333,999,18776.0,346515.6666666667,999999.0,77,387.0,999,43621.0,368672.3333333333,999999.0,0.0,0.0,0.08333333333333333,0.0,PRT,100,77.0,Movistar Team,50,0.0,11990.4,PRT,138,60.0,Movistar Team,73,0.0,9743.8,PRT,159,80.0,Movistar Team,169,0.0,12523.3,PRT,215,82.0,Movistar Team,199,1.0,12664.5,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
17,P.Poljanski,Poland,24,1.82,Tinkoff - Saxo,2014,1,18,20870.0,20,20870.0,0,0,0,0,3,4,10994,4449,2,14,2014.5,18,47.714285714285715,96,1865.0,14711.214285714286,22174.0,16,32.42857142857143,53,9793.0,63246.42857142857,109791.0,0.0,0.0,48,65.0,89,1942.0,13917.0,22174.0,45,48.333333333333336,53,76589.0,88991.0,96163.0,0.0,0.0,0.0,0.0,PRT,512,74.0,Tinkoff - Saxo,-,0.0,11102.3,PRT,1069,57.0,Tinkoff,-,0.0,8987.4,PRT,439,79.0,Bora - Hansgrohe,165,0.0,12514.4,PRT,824,71.0,Bora - Hansgrohe,226,0.0,10794.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
18,A.Vuillermoz,France,26,1.74,AG2R La Mondiale,2014,1,19,20870.0,21,20870.0,1,0,0,0,2,5,14716,10072,1,7,2014.0,19,55.57142857142857,106,1949.0,15623.714285714286,20870.0,21,30.142857142857142,40,20870.0,70851.42857142857,109364.0,0.0,0.0,23,58.666666666666664,106,1949.0,11755.0,17024.0,26,30.666666666666668,40,90393.0,102390.66666666667,109364.0,0.0,0.0,0.0,0.0,PRT,59,72.0,AG2R La Mondiale,75,4.0,11005.0,PRT,150,60.0,AG2R La Mondiale,169,0.0,9139.5,PRT,64,63.0,AG2R La Mondiale,42,3.0,10310.2,PRT,103,51.0,AG2R La Mondiale,106,0.0,8634.5,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
19,B.Matysiak,Poland,30,,CCC Polsat Polkowice,2014,1,20,20870.0,22,20870.0,1,0,0,1,0,5,2282,3733,1,6,2014.0,20,227.33333333333334,999,13167.0,181953.83333333334,999999.0,22,247.0,999,20870.0,213552.33333333334,999999.0,0.0,0.0,30,383.3333333333333,999,17350.0,345986.0,999999.0,109,411.6666666666667,999,74370.0,388696.3333333333,999999.0,0.0,0.0,0.0,0.0,PROF,868.0,62.0,CCC Sprandi Polkowice,-,0.0,10189.5,PROF,769.0,39.0,CCC Sprandi Polkowice,-,0.0,6159.1,CONT,1543.0,41.0,Team Hurom,-,0.0,5804.8,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
