,name,nation,age,height,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,biker_sys_nr,team_sys_nr,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,date,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
10,G.Stepniak,Poland,25.0,,CCC Polsat Polkowice,2014,1,11.0,20870.0,13.0,20870.0,0.0,2.0,2.0,0.0,1.0,3.0,6556,3733,1.0,7.0,2014.0,11.0,54.142857142857146,124.0,1897.0,16014.285714285714,20870.0,10.0,53.714285714285715,119.0,20870.0,71791.71428571429,112100.0,0.0,0.0,81.0,108.0,124.0,1897.0,12666.333333333334,18752.0,101.0,110.33333333333333,119.0,91451.0,104584.66666666667,112100.0,0.0,0.0,0.0,0.0,PROF,460.0,44.0,CCC Sprandi Polkowice,-,2.0,6865.7,PROF,584.0,35.0,CCC Sprandi Polkowice,-,2.0,5378.4,CONT,634.0,27.0,Wibatech - Fuji,-,2.0,3836.6,CONT,558.0,24.0,Wibatech Merx 7R,-,1.0,3335.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
11,G.Brambilla,Italy,27.0,1.70,Omega Pharma-Quick Step,2014,1,12.0,20870.0,14.0,20870.0,0.0,0.0,0.0,0.0,6.0,7.0,2741,3475,3.0,21.0,2015.6666666666667,4.0,35.61904761904762,143.0,1880.0,13905.095238095239,21046.0,9.0,20.238095238095237,49.0,9793.0,58262.28571428572,109103.0,2.0,0.0,14.0,16.0,19.0,11776.0,12672.0,13154.0,13.0,15.0,16.0,63061.0,75273.66666666667,87923.0,0.0,0.0,0.09523809523809523,0.0,PRT,138,61.0,Etixx - Quick Step,108,0.0,9720.3,PRT,36,76.0,Etixx - Quick Step,76,3.0,12220.9,PRT,527,65.0,Quick-Step Floors,144,0.0,10500.9,PRT,95,75.0,Trek - Segafredo,144,0.0,11598.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
12,C.Meier,Italy,29.0,1.75,Orica - GreenEDGE,2014,1,13.0,20870.0,15.0,20870.0,2.0,1.0,0.0,1.0,1.0,4.0,532,4434,2.0,14.0,2014.5,13.0,136.42857142857142,999.0,1758.0,14714.357142857143,22174.0,15.0,142.0,999.0,9801.0,63265.642857142855,108978.0,0.0,0.0,23.0,50.0,64.0,1895.0,13677.666666666666,22174.0,41.0,53.0,77.0,76852.0,88803.0,95741.0,0.0,0.0,0.0,0.0,PRT,366,72.0,Astana Pro Team,-,0.0,11496.6,PRT,260,67.0,Astana Pro Team,139,0.0,10051.1,PRT,260,66.0,Astana Pro Team,200,0.0,10674.1,PRT,461,67.0,Astana Pro Team,352,0.0,9693.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
13,T.Bos,Netherlands,31.0,1.90,Belkin Pro Cycling Team,2014,1,14.0,20870.0,16.0,20870.0,0.0,2.0,0.0,0.0,1.0,12.0,797,3482,1.0,6.0,2014.0,1.0,206.33333333333334,999.0,13167.0,18177.5,20870.0,3.0,199.33333333333334,999.0,20870.0,64690.333333333336,107177.0,1.0,1.0,17.0,391.0,999.0,16858.0,18524.333333333332,20609.0,4.0,384.0,999.0,74091.0,91155.0,107177.0,0.0,0.0,0.16666666666666666,0.16666666666666666,PROF,1610,40.0,MTN - Qhubeka,-,0.0,6161.6,PRT,-,0.0,Dimension Data,-,0.0,0.0,,-,0.0,Beat Cycling Club,-,0.0,0.0,CONT,-,0.0,Beat Cycling Club,-,0.0,0.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
14,T.Kritskiy,Russia,27.0,,RusVelo,2014,1,15.0,20870.0,17.0,20870.0,0.0,0.0,0.0,1.0,0.0,8.0,830,3482,1.0,7.0,2014.0,12.0,51.714285714285715,127.0,1813.0,15907.857142857143,20870.0,15.0,50.42857142857143,102.0,20870.0,71590.85714285714,111355.0,0.0,0.0,20.0,79.33333333333333,127.0,1813.0,12418.0,18091.0,85.0,93.0,102.0,91451.0,104116.0,111355.0,0.0,0.0,0.0,0.0,,921.0,37.0,Russia National Team,-,0.0,4468.8,,,,,,,,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
15,D.Nerz,Germany,25.0,1.80,BMC Racing Team,2014,1,16.0,20870.0,18.0,20870.0,0.0,0.0,0.0,0.0,0.0,2.0,844,10075,1.0,7.0,2014.0,11.0,28.142857142857142,43.0,1830.0,15582.857142857143,20870.0,9.0,18.285714285714285,32.0,20870.0,70783.28571428571,109080.0,0.0,0.0,11.0,24.666666666666668,37.0,1830.0,11659.666666666666,16885.0,9.0,19.0,32.0,90365.0,102231.66666666667,109080.0,0.0,0.0,0.0,0.0,PROF,1016.0,51.0,Bora - Argon 18,-,0.0,7991.6,PROF,671.0,42.0,Bora - Argon 18,-,0.0,6545.2,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
16,A.Amador,Costa Rica,28.0,1.80,Movistar Team,2014,1,17.0,20870.0,19.0,20870.0,0.0,0.0,0.0,0.0,5.0,1.0,745,10081,2.0,12.0,2014.8333333333333,9.0,135.91666666666666,999.0,1814.0,16074.833333333334,21442.0,6.0,126.33333333333333,999.0,10879.0,59915.833333333336,109059.0,1.0,0.0,64.0,380.3333333333333,999.0,18776.0,20330.0,21442.0,77.0,387.0,999.0,43621.0,63277.0,83813.0,0.0,0.0,0.08333333333333333,0.0,PRT,100,77.0,Movistar Team,50,0.0,11990.4,PRT,138,60.0,Movistar Team,73,0.0,9743.8,PRT,159,80.0,Movistar Team,169,0.0,12523.3,PRT,236,81.0,Movistar Team,199,1.0,12601.7,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
17,P.Poljanski,Poland,24.0,1.82,Tinkoff - Saxo,2014,1,18.0,20870.0,20.0,20870.0,0.0,0.0,0.0,0.0,3.0,4.0,10994,4449,2.0,14.0,2014.5,18.0,47.714285714285715,96.0,1865.0,14711.214285714286,22174.0,16.0,32.42857142857143,53.0,9793.0,63246.42857142857,109791.0,0.0,0.0,48.0,65.0,89.0,1942.0,13917.0,22174.0,45.0,48.333333333333336,53.0,76589.0,88991.0,96163.0,0.0,0.0,0.0,0.0,PRT,512,74.0,Tinkoff - Saxo,-,0.0,11102.3,PRT,1069,57.0,Tinkoff,-,0.0,8987.4,PRT,439,79.0,Bora - Hansgrohe,165,0.0,12514.4,PRT,797,71.0,Bora - Hansgrohe,226,0.0,10794.1,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
18,A.Vuillermoz,France,26.0,1.74,AG2R La Mondiale,2014,1,19.0,20870.0,21.0,20870.0,1.0,0.0,0.0,0.0,2.0,5.0,14716,10072,1.0,7.0,2014.0,19.0,55.57142857142857,106.0,1949.0,15623.714285714286,20870.0,21.0,30.142857142857142,40.0,20870.0,70851.42857142857,109364.0,0.0,0.0,23.0,58.666666666666664,106.0,1949.0,11755.0,17024.0,26.0,30.666666666666668,40.0,90393.0,102390.66666666667,109364.0,0.0,0.0,0.0,0.0,PRT,59,72.0,AG2R La Mondiale,75,4.0,11005.0,PRT,150,60.0,AG2R La Mondiale,169,0.0,9139.5,PRT,64,63.0,AG2R La Mondiale,42,3.0,10310.2,PRT,105,49.0,AG2R La Mondiale,106,0.0,8236.8,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
19,B.Matysiak,Poland,30.0,,CCC Polsat Polkowice,2014,1,20.0,20870.0,22.0,20870.0,1.0,0.0,0.0,1.0,0.0,5.0,2282,3733,1.0,6.0,2014.0,20.0,227.33333333333334,999.0,13167.0,18097.0,20870.0,22.0,247.0,999.0,20870.0,64748.666666666664,107177.0,0.0,0.0,30.0,383.3333333333333,999.0,16858.0,18272.333333333332,20609.0,109.0,411.6666666666667,999.0,74370.0,91089.0,107177.0,0.0,0.0,0.0,0.0,PROF,868.0,62.0,CCC Sprandi Polkowice,-,0.0,10189.5,PROF,769.0,39.0,CCC Sprandi Polkowice,-,0.0,6159.1,CONT,1543.0,41.0,Team Hurom,-,0.0,5804.8,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
